datetime,tempmax,tempmin,temp,dew,humidity,precip,preciptype,windgust,windspeed,wildfire
10/6/2020,93.8,49.4,67.4,38.6,43.6,0,,11.4,9.2,
10/7/2020,84.5,45.7,63.2,39.1,47.2,0,,13.9,8.6,
10/8/2020,73.3,52,60.5,48.2,65.5,0,,11.4,9.6,
10/9/2020,76.7,49.3,60.7,48.4,67.2,0,,12.8,9.7,
10/10/2020,67.9,55.7,60.6,53.6,77.9,0,,11.4,8.8,1
10/11/2020,77.5,50.1,62.2,45.6,59.2,0,,17.2,9,
10/12/2020,83.7,48.9,64.3,46.8,56.5,0,,21.9,8.6,
10/13/2020,85.3,52.5,67.3,49.1,57.1,0,,17.1,12.9,
10/14/2020,85.9,53.7,68.5,47,50.9,0,,13.9,8.6,
10/15/2020,93,52.2,69.4,42.8,44.2,0,,12.8,5.6,
10/16/2020,94,49.5,69.2,36.6,38.3,0,,13.9,4.5,
10/17/2020,93.9,49,68.5,37.6,38.6,0,,13.9,8,
10/18/2020,89.5,51.3,66.9,41.2,43.9,0,,13.9,9.6,
10/19/2020,92,50.2,66.5,44,49.5,0,,16.1,8.1,
10/20/2020,92.9,48.7,65.9,42.3,47.9,0,,12.8,7.7,1
10/21/2020,83.2,49,64.6,44.7,52.7,0,,17.2,8.8,
10/22/2020,82.3,48,62.6,42.2,52.5,0,,16.1,5.2,
10/23/2020,76.1,44.7,58.4,40.8,55.8,0,,10.3,7.7,
